ID,答题时间,Q1_身份,Q2_年龄段,Q3_配送类型,Q4_配送区域类型,Q5_是否用过驿站,Q6_跑单时长,Q7_最不便方面_多选,Q8_驿站重要功能_多选,Q9_驿站选址偏好,Q10_方案取舍,Q11_效率恢复_量表,Q12_安全缓冲_量表,Q13_价值感知_量表,Q14_寻找难易_量表,Q15_注意力测试_量表,Q16_使用流程_量表,Q17_习惯难度_量表,Q18_使用可能_量表,Q19_推荐意愿_量表,Q20_运营费用承担_多选,Q21_付费意愿,Q22_广告接受度_量表,Q23_运营顾虑_开放,Q24_从业时间,Q25_月收入,Q26_商户店铺类型,Q27_商户店址位置,Q28_骑手客源占比,Q29_目前骑手停留情况,Q30_参与合作意向,Q31_合作顾虑点_多选,Q32_激励方式偏好_多选,Q33_商户具体想法_开放,Q34_居民见骑手频率,Q35_对骑手露宿态度,Q36_对驿站总体态度,Q37_50米内距离敏感度,Q38_居民主要担忧_多选,Q39_驿站管理原则_多选,Q40_参与讨论意愿,Q41_居民建议建议_开放,Q42_社区居住时长
372,724,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,中立,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",不太愿意,,少于1年
373,541,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,1-5年
374,260,外卖骑手,18-24岁,专送,混合区域,是，经常用,8-12小时,"手机/电瓶车充电难,饮水不便","应急庇护,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,完全由政府出资",不太愿意,4.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
375,320,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,不太支持,否,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,1-5年
376,310,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,少于4小时,"上厕所不便,身体疲劳无处缓解,找不到合适地方休息","充电续航,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"广告收入,向骑手收取少量费用",不太愿意,4.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
377,186,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,觉得辛苦,非常支持,否,充电消防隐患,物业监督,无所谓,,少于1年
378,197,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",无所谓,,1-5年
379,1665,外卖骑手,31-40岁,众包,商业区/写字楼为主,是，偶尔用,4-8小时,"上厕所不便,饮水不便,身体疲劳无处缓解","充足的电瓶车停车位,应急庇护",小区出入口/门卫室附近,A（高频便利型）,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,5.0,,3年以上,8000-12000元,,,,,,,,,,,,,,,,,
380,589,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，在100米内,是，经常来,经常有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
381,510,外卖骑手,18-24岁,众包,住宅区/社区为主,是，经常用,少于4小时,饮水不便,"充足的电瓶车停车位,便利服务",社区便利店/超市内,B（综合保障型）,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,"完全由政府出资,由外卖平台承担",愿意支付,4.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
382,318,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,少于4小时,饮水不便,"充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,"完全由政府出资,由外卖平台承担",愿意支付,3.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
383,616,外卖骑手,18-24岁,众包,住宅区/社区为主,是，经常用,超过12小时,"手机/电瓶车充电难,饮水不便","充电续航,充足的电瓶车停车位",社区党群服务中心,B（综合保障型）,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,"向骑手收取少量费用,广告收入",愿意支付,3.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
384,560,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,没感觉,比较支持,是,充电消防隐患,禁止吸烟,无所谓,,5年以上
385,934,外卖骑手,18-24岁,专送,住宅区/社区为主,是，偶尔用,8-12小时,"身体疲劳无处缓解,上厕所不便,饮水不便","便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,"完全由政府出资,向骑手收取少量费用",愿意支付,1.0,,6个月-1年,12000元以上,,,,,,,,,,,,,,,,,
386,330,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,否,是，经常来,经常有,非常愿意,"影响店面卫生,安全责任问题",水电补贴,,,,,,,,,,
387,184,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，在100米内,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",,,,,,,,,,
388,326,外卖骑手,25-30岁,众包,混合区域,完全不知道,8-12小时,上厕所不便,"基础休憩,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,"完全由政府出资,由外卖平台承担",不太愿意,4.0,,不到6个月,12000元以上,,,,,,,,,,,,,,,,,
389,178,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,觉得辛苦,不太支持,是,充电消防隐患,物业监督,不太愿意,,5年以上
390,254,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,影响美观,中立,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",愿意,,1-5年
391,122,外卖骑手,31-40岁,众包,商业区/写字楼为主,完全不知道,少于4小时,"饮水不便,手机/电瓶车充电难","基础休憩,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,"完全由政府出资,广告收入",完全不愿意,5.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
392,198,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,超过12小时,上厕所不便,"充足的电瓶车停车位,应急庇护",社区便利店/超市内,B（综合保障型）,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,5.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
393,317,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，偶尔用,4-8小时,"身体疲劳无处缓解,找不到合适地方休息,饮水不便","充电续航,便利服务",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,"完全由政府出资,向骑手收取少量费用",愿意支付,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
394,503,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,8-12小时,身体疲劳无处缓解,"便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,"广告收入,向骑手收取少量费用",愿意支付,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
395,46,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，就在小区门口,很少,从未有过,非常愿意,安全责任问题,"平台流量曝光,水电补贴",,,,,,,,,,
396,204,外卖骑手,41岁及以上,众包,住宅区/社区为主,知道，但从没用过,4-8小时,"身体疲劳无处缓解,饮水不便","便利服务,基础休憩",闲置核酸亭/集装箱改造,C（弹性流动型）,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,"广告收入,完全由政府出资",愿意支付,3.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
397,1095,外卖骑手,25-30岁,众包,商业区/写字楼为主,知道，但从没用过,超过12小时,"饮水不便,手机/电瓶车充电难","充电续航,应急庇护",小区出入口/门卫室附近,B（综合保障型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,"由外卖平台承担,完全由政府出资",不太愿意,2.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
398,400,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,否,偶尔来,从未有过,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",,,,,,,,,,
399,1295,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,影响美观,不太支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,1-5年
400,390,外卖骑手,31-40岁,众包,混合区域,完全不知道,4-8小时,找不到合适地方休息,"便利服务,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,广告收入",视情况而定,4.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
401,437,外卖骑手,18-24岁,众包,住宅区/社区为主,是，经常用,少于4小时,找不到合适地方休息,"充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,"完全由政府出资,广告收入",不太愿意,3.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
402,859,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,否,偶尔来,从未有过,可以考虑,"影响店面卫生,安全责任问题",平台流量曝光,,,,,,,,,,
403,481,外卖骑手,25-30岁,众包,混合区域,是，经常用,超过12小时,"身体疲劳无处缓解,饮水不便","充电续航,应急庇护",小区出入口/门卫室附近,A（高频便利型）,5.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,"由外卖平台承担,完全由政府出资",完全不愿意,1.0,,6个月-1年,12000元以上,,,,,,,,,,,,,,,,,
404,268,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,否,很少,经常有,不愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
405,1082,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，在100米内,偶尔来,偶尔有,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",,,,,,,,,,
406,318,外卖骑手,25-30岁,众包,混合区域,完全不知道,8-12小时,"上厕所不便,身体疲劳无处缓解","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,2.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
407,302,外卖骑手,18-24岁,众包,混合区域,完全不知道,超过12小时,找不到合适地方休息,"应急庇护,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,"广告收入,完全由政府出资",视情况而定,1.0,,1-3年,8000-12000元,,,,,,,,,,,,,,,,,
408,1078,外卖骑手,25-30岁,专送,商业区/写字楼为主,知道，但从没用过,4-8小时,"身体疲劳无处缓解,手机/电瓶车充电难,饮水不便","充电续航,充足的电瓶车停车位",小区出入口/门卫室附近,B（综合保障型）,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,"广告收入,由外卖平台承担",视情况而定,1.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
409,316,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,5年以上
410,122,外卖骑手,31-40岁,专送,住宅区/社区为主,是，偶尔用,超过12小时,手机/电瓶车充电难,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,"由外卖平台承担,完全由政府出资",视情况而定,4.0,,3年以上,5000-8000元,,,,,,,,,,,,,,,,,
411,220,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,影响美观,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,1-5年
412,219,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"饮水不便,找不到合适地方休息,手机/电瓶车充电难","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,1.0,,不到6个月,12000元以上,,,,,,,,,,,,,,,,,
413,294,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"饮水不便,上厕所不便,手机/电瓶车充电难","充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,B（综合保障型）,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,"由外卖平台承担,广告收入",完全不愿意,2.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
414,1549,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",愿意,,1-5年
415,429,外卖骑手,25-30岁,众包,商业区/写字楼为主,完全不知道,8-12小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","便利服务,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",不太愿意,1.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
416,181,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,觉得辛苦,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
417,145,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，就在小区门口,偶尔来,很少有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,,,,,,,,,,
418,160,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，在100米内,偶尔来,很少有,非常愿意,影响店面卫生,"平台流量曝光,水电补贴",,,,,,,,,,
419,226,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,否,很少,偶尔有,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,,,,,,,,,,
420,114,外卖骑手,18-24岁,众包,住宅区/社区为主,知道，但从没用过,4-8小时,手机/电瓶车充电难,"基础休憩,充电续航",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,完全由政府出资",愿意支付,2.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
421,71,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,是，就在小区门口,偶尔来,很少有,可以考虑,"影响店面卫生,安全责任问题",平台流量曝光,,,,,,,,,,
422,491,外卖骑手,18-24岁,众包,住宅区/社区为主,是，经常用,8-12小时,"饮水不便,找不到合适地方休息,身体疲劳无处缓解","便利服务,充电续航",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,4.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
423,171,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,否,是，经常来,经常有,不愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",,,,,,,,,,
424,328,外卖骑手,31-40岁,众包,商业区/写字楼为主,知道，但从没用过,4-8小时,"上厕所不便,身体疲劳无处缓解","充足的电瓶车停车位,应急庇护",小区出入口/门卫室附近,A（高频便利型）,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,"完全由政府出资,广告收入",愿意支付,5.0,,3年以上,5000-8000元,,,,,,,,,,,,,,,,,
425,234,外卖骑手,41岁及以上,专送,住宅区/社区为主,知道，但从没用过,4-8小时,"饮水不便,手机/电瓶车充电难,身体疲劳无处缓解","便利服务,应急庇护",社区便利店/超市内,C（弹性流动型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,广告收入",视情况而定,5.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
426,656,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,少于4小时,"上厕所不便,身体疲劳无处缓解,手机/电瓶车充电难","充电续航,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,5.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,"完全由政府出资,广告收入",不太愿意,4.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
427,396,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,不希望聚集,非常支持,否,"充电消防隐患,噪音/卫生问题",物业监督,不太愿意,,少于1年
428,422,外卖骑手,41岁及以上,众包,混合区域,完全不知道,超过12小时,"饮水不便,上厕所不便","应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,"由外卖平台承担,广告收入",愿意支付,5.0,,6个月-1年,12000元以上,,,,,,,,,,,,,,,,,
429,368,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,1-5年
430,116,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,8-12小时,手机/电瓶车充电难,"应急庇护,基础休憩",社区便利店/超市内,A（高频便利型）,5.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,5.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
431,177,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，就在小区门口,很少,很少有,非常愿意,影响店面卫生,水电补贴,,,,,,,,,,
432,120,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，在100米内,偶尔来,经常有,不愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",,,,,,,,,,
433,197,外卖骑手,18-24岁,专送,商业区/写字楼为主,知道，但从没用过,超过12小时,"手机/电瓶车充电难,身体疲劳无处缓解","充电续航,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,3.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
434,318,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,中立,是,"充电消防隐患,噪音/卫生问题",物业监督,无所谓,,少于1年
435,204,外卖骑手,25-30岁,众包,混合区域,完全不知道,少于4小时,"身体疲劳无处缓解,找不到合适地方休息,上厕所不便","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,"广告收入,向骑手收取少量费用",愿意支付,2.0,,不到6个月,5000元以下,,,,,,,,,,,,,,,,,
436,372,外卖骑手,31-40岁,专送,混合区域,是，经常用,少于4小时,"上厕所不便,饮水不便","充足的电瓶车停车位,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,"完全由政府出资,广告收入",不太愿意,4.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
437,431,外卖骑手,18-24岁,专送,商业区/写字楼为主,是，偶尔用,4-8小时,"上厕所不便,找不到合适地方休息","基础休憩,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,完全由政府出资",完全不愿意,4.0,,1-3年,5000-8000元,,,,,,,,,,,,,,,,,
438,341,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,便利店/小超市,是，在100米内,是，经常来,很少有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",,,,,,,,,,
439,233,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，在100米内,很少,很少有,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,,,,,,,,,,
440,1118,外卖骑手,18-24岁,专送,商业区/写字楼为主,是，偶尔用,少于4小时,"饮水不便,上厕所不便","充足的电瓶车停车位,应急庇护",小区出入口/门卫室附近,C（弹性流动型）,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,"广告收入,向骑手收取少量费用",不太愿意,2.0,,不到6个月,5000-8000元,,,,,,,,,,,,,,,,,
441,198,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，在100米内,偶尔来,偶尔有,可以考虑,影响店面卫生,"平台流量曝光,水电补贴",,,,,,,,,,
442,203,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,不希望聚集,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,5年以上
443,809,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,其他服务店,是，在100米内,偶尔来,经常有,不愿意,影响店面卫生,平台流量曝光,,,,,,,,,,
444,488,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,4-8小时,"饮水不便,身体疲劳无处缓解","充足的电瓶车停车位,充电续航",社区便利店/超市内,A（高频便利型）,5.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,3.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
445,392,外卖骑手,41岁及以上,众包,混合区域,知道，但从没用过,超过12小时,"上厕所不便,饮水不便,手机/电瓶车充电难","基础休憩,充电续航",社区便利店/超市内,B（综合保障型）,3.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,4.0,"由外卖平台承担,向骑手收取少量费用",愿意支付,4.0,,6个月-1年,5000元以下,,,,,,,,,,,,,,,,,
446,104,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，偶尔用,超过12小时,"上厕所不便,手机/电瓶车充电难","基础休憩,充电续航",社区便利店/超市内,B（综合保障型）,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,"由外卖平台承担,向骑手收取少量费用",愿意支付,2.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
447,404,外卖骑手,25-30岁,众包,商业区/写字楼为主,完全不知道,超过12小时,"饮水不便,找不到合适地方休息,身体疲劳无处缓解","基础休憩,便利服务",小区出入口/门卫室附近,B（综合保障型）,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,"由外卖平台承担,向骑手收取少量费用",视情况而定,2.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
448,302,外卖骑手,25-30岁,专送,商业区/写字楼为主,完全不知道,少于4小时,"身体疲劳无处缓解,找不到合适地方休息","充电续航,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,4.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
449,255,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,经常看到,没感觉,非常支持,是,噪音/卫生问题,"物业监督,禁止吸烟",愿意,,1-5年
450,509,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,8-12小时,上厕所不便,"便利服务,充电续航",闲置核酸亭/集装箱改造,B（综合保障型）,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,"由外卖平台承担,广告收入",愿意支付,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
451,102,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,觉得辛苦,比较支持,是,噪音/卫生问题,"物业监督,禁止吸烟",愿意,,5年以上
452,87,外卖骑手,25-30岁,众包,混合区域,完全不知道,超过12小时,手机/电瓶车充电难,"基础休憩,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,5.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,"完全由政府出资,由外卖平台承担",视情况而定,2.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
453,386,外卖骑手,41岁及以上,众包,商业区/写字楼为主,知道，但从没用过,8-12小时,"找不到合适地方休息,饮水不便","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,3.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",愿意支付,5.0,,1-3年,12000元以上,,,,,,,,,,,,,,,,,
454,363,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,餐饮店,否,偶尔来,偶尔有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,,,,,,,,,,
455,694,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,,1-5年
456,72,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,觉得辛苦,非常支持,是,噪音/卫生问题,"禁止吸烟,物业监督",愿意,,1-5年
457,1028,外卖骑手,31-40岁,众包,混合区域,是，偶尔用,4-8小时,找不到合适地方休息,"便利服务,基础休憩",小区出入口/门卫室附近,A（高频便利型）,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"广告收入,向骑手收取少量费用",不太愿意,3.0,,不到6个月,8000-12000元,,,,,,,,,,,,,,,,,
458,248,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,药店/诊所,是，在100米内,偶尔来,从未有过,可以考虑,安全责任问题,"水电补贴,平台流量曝光",,,,,,,,,,
460,359,外卖骑手,18-24岁,众包,住宅区/社区为主,是，经常用,少于4小时,上厕所不便,"充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,A（高频便利型）,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,"完全由政府出资,由外卖平台承担",视情况而定,1.0,,6个月-1年,5000-8000元,,,,,,,,,,,,,,,,,
461,140,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,没感觉,中立,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",愿意,,5年以上
462,473,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,4-8小时,"找不到合适地方休息,身体疲劳无处缓解","充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,"完全由政府出资,广告收入",愿意支付,4.0,,6个月-1年,8000-12000元,,,,,,,,,,,,,,,,,
463,329,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,很少看到,不希望聚集,中立,否,充电消防隐患,物业监督,不太愿意,,少于1年
